사는 게 이게 모양?!,빨간 고백,위닝샷!,집순이에 대하여,자작 보드게임 동아리,500원 토끼,솔의 일기,이래봬도2학년,대공녀는 거기에 없었다,범고래아가씨,"77년생, 열아홉",두남자일기,여기서 한잔할래?,좋아하는거 참으면 병나요!,딴 짓이 제일 재밌어,스토커의 하루,띵동! 도토리에요,마이데이,판타지 TV,만월에 핀 연꽃,전지적덕후시점,너와 나의 하늘색,너와 가까워지는 거리,어둠의 일상툰,하이스쿨 콤플렉스(마이동풍),함께 할 때까지,이세계 국밥 마스터,우당탕 입큰이,좀비랜드,내 매력에 퐁당,나타나주세요!,하루의 하늘,한 뼘 공포집,해피하우스,살인교사,템플러,직업 : 며느리,"뼈와 재, 불의 이야기",남편 먹는 여자,너와 나의 몰디브,체리 블러드,모두의 미아씨,158동 진상부부,공원여행,살인범과 산다,애포칼립스,미신반신,의대생 하루,하나리즈,식봉툰,국밥소녀
"('좋아요', 11)","('미친', 14)","('좋은', 18)","('좋은', 15)","('검은', 23)","('귀여워', 36)","('귀여워서', 43)","('귀여워요', 24)","('재밌어요', 15)","('좋은', 41)","('재밌어요', 22)","('귀여워요', 9)","('맛있어', 13)","('좋은', 11)","('귀여워요', 6)","('재밌어요', 12)","('귀여워요', 8)","('좋은', 9)","('싫어요', 17)","('좋아', 45)","('좋아하는', 23)","('재밌게', 11)","('좋아하고', 59)","('귀여워', 8)","('좋아요', 12)","('마라', 15)","('뜨겁다', 6)","('그러고', 6)","('재밌어', 10)","('좋은', 8)","('미친', 34)","('귀여워', 19)","('재밌어요', 14)","('재밌어요', 28)","('좋은', 8)","('멋있게', 7)","('없고', 14)","('재밌게', 22)","('재밌어요', 16)","('재밌어요', 26)","('빨간', 15)","('있겠다', 5)","('좋아요', 11)","('재밌어요', 19)","('재밌어요', 10)","('많은', 6)","('아닌가', 4)","('아님', 9)","('귀엽다', 49)","('잡다한', 56)","('새로운', 5)"
"('예쁜', 5)","('없었으면', 14)","('좋겠다', 14)","('귀여워', 7)","('안녕하게', 23)","('귀엽다', 23)","('좋겠어요', 15)","('귀엽다', 12)","('좋은', 14)","('재밌게', 6)","('기뻐요', 4)","('궁금해요', 5)","('맛있겠다', 11)","('재밌어요', 9)","('좋은', 6)","('재밌게', 7)","('재밌어요', 7)","('솔직히', 9)","('좋아요', 16)","('좋은', 8)","('솔직히', 15)","('재밌어요', 8)","('귀여워', 26)","('좋아요', 5)","('귀여워', 11)","('귀엽다', 6)","('재미있는', 5)","('있었으면', 4)","('미친', 10)","('무리하지', 6)","('재밌어요', 27)","('아니야', 9)","('노란', 6)","('재밌게', 10)","('미친', 6)","('재밌네요', 7)","('좋아요', 14)","('재밌어요', 12)","('궁금해요', 13)","('아프지', 14)","('좋은', 14)","('좋을수도', 4)","('좋은', 10)","('재밌게', 11)","('아님', 6)","('좋은', 4)","('재밌어요', 4)","('아니야', 7)","('귀여워요', 30)","('좋은', 4)","('재밌어요', 4)"
"('많은', 5)","('좋겠어', 14)","('재밌다', 14)","('재밌어요', 7)","('아닐까', 17)","('귀여워요', 19)","('행복하자', 12)","('귀여운', 7)","('좋아요', 12)","('귀여워', 5)","('재밌게', 4)","('귀엽', 5)","('좋은', 9)","('재밌게', 6)","('예뻐요', 4)","('좋습니다', 4)","('좋은', 6)","('재밌게', 7)","('싫어', 9)","('재밌게', 7)","('좋은', 10)","('귀엽고', 7)","('미친', 20)","('맛있어요', 5)","('좋다', 9)","('없어서', 5)","('든든한', 5)","('없어', 3)","('싫어요', 8)","('있을게요', 6)","('좋아요', 24)","('아니냐', 8)","('재밌게', 6)","('미쳤다', 9)","('좋겠어요', 5)","('재밌어요', 6)","('어떤', 9)","('좋은', 11)","('궁금하네요', 9)","('재밌게', 9)","('아님', 8)","('맛있는', 4)","('재밌어요', 5)","('재미있게', 8)","('유력해졌는데', 4)","('예쁜', 4)","('아님', 4)","('귀여워', 6)","('매운거', 15)","('정확하게', 4)","('좋군요', 4)"
"('있었는데', 5)","('귀여워', 6)","('안되면', 12)","('무서워서', 7)","('아님', 16)","('귀여운', 9)","('귀여워', 10)","('귀여워', 7)","('어떡해', 10)","('좋다', 5)","('좋은', 4)","('귀여워', 3)","('아닌가요', 8)","('있을게요', 6)","('없어요', 4)","('미쳤다', 4)","('귀엽다', 6)","('있지', 6)","('없는데', 8)","('좋아요', 6)","('아닌데', 9)","('좋아요', 7)","('좋아해', 20)","('궁금해', 4)","('어떤', 7)","('귀여워요', 5)","('뜨끈한', 4)","('무서운', 3)","('같음', 7)","('재밌게', 6)","('미쳤다', 22)","('나빴네요', 8)","('재밌네요', 5)","('재밌다', 9)","('편하게', 5)","('재밌다', 5)","('없음', 7)","('재미있어요', 9)","('아님', 5)","('설레요', 6)","('슬퍼', 6)","('고마워요', 4)","('행복하세요', 4)","('재미있어요', 6)","('순수한', 4)","('없어서', 4)","('없어요', 3)","('아닐까', 5)","('귀여워', 12)","('좋습니다', 3)","('재밌게', 4)"
"('좋고', 4)","('귀여운', 5)","('재밌어요', 12)","('슬프다', 6)","('미친', 16)","('싫어요', 9)","('좋아요', 9)","('귀엽네요', 6)","('행복했으면', 9)","('새로운', 5)","('이쁘고', 4)","('설레잖아', 2)","('맛있게', 7)","('이상한', 5)","('궁금해요', 4)","('아니냐', 4)","('재밌게', 5)","('같아서', 5)","('미안해', 8)","('예뻐요', 5)","('부러워요', 9)","('좋은', 6)","('좋아', 14)","('귀엽다', 4)","('좋은', 5)","('아니야', 4)","('재밌어요', 4)","('싸했던게', 2)","('아닌데', 5)","('아님', 6)","('재밌다', 18)","('저래', 8)","('좋은', 3)","('재밌네', 8)","('재밌는데', 4)","('재밌게', 5)","('서운해', 7)","('아닌데', 6)","('있네요', 5)","('궁금해요', 6)","('있었으면', 4)","('있는걸', 3)","('좋네요', 3)","('나쁜', 6)","('사악하게', 4)","('어떤', 4)","('궁금하긴', 2)","('필요없는', 5)","('귀여우셔요', 11)","('미친', 3)","('재밌어', 3)"
"('좋아서', 4)","('좋아요', 5)","('솔직히', 9)","('귀여워요', 5)","('같음', 14)","('좋아요', 7)","('좋겠다', 7)","('좋겠네요', 6)","('아닐까', 8)","('이상한', 4)","('있음', 4)","('싫어요', 2)","('좋아요', 7)","('없어요', 4)","('귀엽', 3)","('재밌어', 4)","('귀여워', 4)","('아닌가', 5)","('아님', 8)","('아니지', 5)","('없는데', 8)","('좋네요', 4)","('좋은', 12)","('굉장히', 4)","('예뻐요', 4)","('아닐까', 4)","('아니냐', 4)","('귀엽고', 2)","('아님', 4)","('좋아요', 6)","('재밌게', 15)","('귀엽군', 8)","('재밌는', 3)","('재밌네요', 8)","('재미있구', 4)","('좋고', 5)","('적당히', 7)","('재밌다', 6)","('이상한', 5)","('반가워요', 6)","('좋겠다', 4)","('아닐까', 3)","('부러워요', 3)","('재밌는', 4)","('재밌게', 4)","('강한', 4)","('재밌게', 2)","('더러워', 5)","('좋은', 10)","('이상한', 3)","('안되는거', 3)"
"('귀여워서', 4)","('빨간', 5)","('좋은데', 8)","('귀여운', 5)","('있음', 10)","('귀엽', 7)","('귀엽다', 7)","('좋겠어요', 6)","('안녕하세요', 7)","('솔직히', 3)","('무섭네', 4)","('포근포근한', 2)","('재밌게', 6)","('아님', 4)","('같아서', 3)","('아니네요', 3)","('재밌어', 4)","('없는데', 5)","('재밌다', 8)","('있다고', 5)","('좋아서', 8)","('아님', 4)","('귀엽다', 11)","('아닌가요', 4)","('미쳤다', 4)","('좋아요', 4)","('재밌', 4)","('깜찍하고', 2)","('없네', 4)","('이뻐요', 6)","('좋은', 13)","('아닌가', 8)","('없던', 3)","('좋겠어요', 5)","('재밌어', 4)","('멋지다', 4)","('좋겠어요', 7)","('같습니다', 6)","('무서운거', 4)","('좋은', 5)","('재미있어요', 4)","('좋은데', 3)","('행복한', 2)","('재밌어용', 4)","('아닌거', 4)","('그럴', 3)","('있었는데', 2)","('없게', 4)","('귀여운', 9)","('아니겠죠', 2)","('아니야', 3)"
"('가볍게', 4)","('행복하자', 4)","('미친', 8)","('귀여우세요', 4)","('같습니다', 9)","('귀엽고', 6)","('이뻐요', 7)","('좋고', 6)","('솔직히', 7)","('예쁘다', 3)","('무서워요', 4)","('재밌겠다', 2)","('귀여워요', 6)","('아닌가요', 4)","('죄송해요', 3)","('재밌다', 3)","('자세히', 4)","('싫음', 5)","('솔직히', 6)","('당연히', 5)","('아니다', 7)","('좋아하나', 4)","('귀여운', 11)","('재밌다', 4)","('자세하게', 4)","('귀여워', 4)","('재밌다', 3)","('얄밉고', 2)","('있네', 4)","('예쁘고', 6)","('신난다', 11)","('어떤', 8)","('무서워', 3)","('좋겠습니다', 5)","('좋은데', 3)","('재미있는데', 4)","('같아서', 6)","('재밌습니다', 5)","('재밌게', 4)","('설렘', 5)","('재미있네요', 4)","('좋겠다', 3)","('좋고', 2)","('좋다', 3)","('있을거', 4)","('좋아요', 3)","('솔직히', 2)","('좋아요', 4)","('좋겠어요', 9)","('재밌네', 2)","('있었던거야', 2)"
"('재미있게', 3)","('재밌어요', 4)","('좋네요', 7)","('무서워요', 4)","('있다는', 8)","('행복한', 5)","('좋네요', 7)","('재밌게', 5)","('좋아하는', 6)","('재미있게', 3)","('부럽다', 4)","('재밌는거', 2)","('귀여운', 4)","('행복한', 4)","('있었는데', 3)","('불쌍해', 3)","('예뻐', 4)","('그렇지', 5)","('아닌가', 6)","('좋겠어요', 5)","('좋아하고', 6)","('좋아하는거', 4)","('좋다', 9)","('좋아하는', 4)","('싫어', 4)","('귀엽고', 4)","('좋은', 3)","('있다는거지', 2)","('재밌게', 4)","('재밌어요', 5)","('좋아', 9)","('해로워', 8)","('슬프잖아', 3)","('좋고', 4)","('있을게요', 3)","('멍청한', 4)","('있다면', 6)","('재밌네요', 5)","('무섭다', 4)","('좋다', 4)","('싫다', 4)","('좋은', 3)","('이렇게만', 2)","('행복하세요', 2)","('좋은', 3)","('좋겠습니다', 3)","('괜찮은', 2)","('예쁘다', 4)","('귀여우세요', 8)","('아님', 2)","('실패했다', 2)"
"('작은', 3)","('아니죠', 4)","('미쳤다', 6)","('많다', 4)","('있었고', 8)","('작은', 5)","('좋다', 6)","('따뜻한', 5)","('좋겠는데', 6)","('재밌는', 3)","('예쁘고', 3)","('오래됬네요', 2)","('귀여워', 4)","('다양한', 4)","('귀여우세요', 3)","('미쳤네요', 3)","('귀여워용', 4)","('궁금해', 5)","('좋아', 6)","('이뻐', 5)","('부럽다', 6)","('좋아하는', 4)","('귀엽고', 9)","('좋아', 4)","('좋은데', 4)","('재밌게', 4)","('아녀', 3)","('미쳤을텐데', 2)","('안녕하세요', 4)","('기대할게요', 5)","('아닐까', 9)","('재밌어요', 6)","('무서워요', 3)","('아님', 4)","('없어서', 3)","('좋아', 4)","('있다가', 6)","('아니야', 5)","('먼가', 3)","('재밌어용', 4)","('싫어', 4)","('아프지', 2)","('힘들지만', 2)","('궁금해지네요', 2)","('재밌어', 3)","('생소한', 3)","('나쁘지', 2)","('불안해', 3)","('좋아하는데', 8)","('아프고', 2)","('슬프지만', 2)"
"('좋겠어요', 3)","('잘생긴', 3)","('좋아하는데', 5)","('미안해', 4)","('아닌것', 6)","('좋은', 4)","('설레', 6)","('어떤', 5)","('좋고', 6)","('아닙니다', 3)","('좋겠네요', 3)","('반가워요', 2)","('아닌데', 4)","('좋아하는거', 4)","('똑같네요', 3)","('재밌네요', 2)","('재미있어요', 4)","('착하다', 5)","('없어', 6)","('아닌것', 5)","('잘생겼다', 5)","('솔직히', 4)","('설레', 8)","('없어서', 3)","('좋아', 4)","('같아용', 4)","('솔직히', 3)","('재미있게', 2)","('좋테', 4)","('같다고', 5)","('재밌어', 8)","('재밌는데', 5)","('있겠', 2)","('짠하네요', 4)","('재미있는데', 3)","('아님', 4)","('같음', 6)","('좋은데', 4)","('무서운', 3)","('좋아요', 4)","('어떡해', 4)","('재밌어요', 2)","('설렌다', 2)","('좋습니다', 2)","('이럴줄', 2)","('많아요', 3)","('위험한데', 2)","('같음', 3)","('있지만', 8)","('좋으', 2)","('다른거', 2)"
"('완전히', 3)","('아니라고', 3)","('재밌네', 5)","('재밌게', 4)","('재밌는데', 6)","('아닌가', 3)","('행복해', 6)","('스러워요', 4)","('재밌게', 6)","('건강하세요', 3)","('궁금해서', 3)","('편하게', 2)","('힘든', 4)","('어려운', 4)","('괜찮으세요', 2)","('심오한것', 2)","('예쁘다', 3)","('행복한', 4)","('괜찮은데', 5)","('재미있는', 5)","('좋아한다고', 5)","('친한', 3)","('좋아요', 8)","('이상한', 3)","('완벽합니다', 4)","('있는게', 3)","('없다', 3)","('귀엽다', 2)","('있었더라면', 4)","('많아서', 4)","('좋겠다', 8)","('재밌게', 5)","('기대할게요', 2)","('좋아요', 4)","('당당하게', 2)","('귀여워', 3)","('좋으신', 6)","('있지', 4)","('있을게요', 3)","('있을게', 4)","('좋겠어요', 3)","('상당히', 2)","('좋다', 2)","('많으셨습니다', 2)","('시급합니다', 2)","('투명하게', 3)","('멋있어', 2)","('귀찮', 3)","('귀여워서', 7)","('비싸', 2)","('젊을', 2)"
"('멋있다', 3)","('어떤', 3)","('없음', 4)","('소중히', 4)","('좋습니다', 6)","('곧있으면', 3)","('새로운', 6)","('순수하고', 4)","('없어', 6)","('중요한', 3)","('아니겠지', 3)","('재밌게', 2)","('맛있어요', 3)","('대단해요', 4)","('몽글몽글한', 2)","('같구만', 2)","('귀여운', 3)","('좋으니', 4)","('해로운', 5)","('아닌가', 4)","('딱히', 5)","('아니지', 3)","('귀엽', 8)","('비슷한', 3)","('이뻐지신', 4)","('없지만', 3)","('아닐듯', 2)","('그러고내말', 2)","('재밌네요', 3)","('재미있네요', 4)","('좋다', 8)","('좋아하는', 5)","('그렇니깐', 2)","('재밌어', 4)","('싫어', 2)","('재밌', 3)","('다름을', 6)","('좋고', 4)","('재밌는데', 3)","('건강하게', 4)","('재밌게', 3)","('살찔까봐', 2)","('있다고', 2)","('안녕하세요', 2)","('없음', 2)","('쎄고', 3)","('아니겠지', 2)","('이쁘다', 3)","('매운', 7)","('드러가니까', 2)","('이쁘셨네', 2)"
"('힘드시면', 3)","('있었는데', 3)","('재밌는', 4)","('안녕하세요', 4)","('나쁘다는', 6)","('재밌게', 3)","('짧아도', 5)","('귀여워서', 4)","('아니지', 5)","('좋은데', 3)","('무서워', 3)","('속상하네요', 2)","('솔직히', 3)","('없고', 3)","('재미있어서', 2)","('웬만한', 2)","('나쁜', 3)","('좋음', 4)","('좋겠다', 5)","('좋겠다', 4)","('좋겠어요', 5)","('좋겠당', 3)","('나쁜', 7)","('귀여워요', 3)","('어떴게', 4)","('맛있는거', 3)","('식상했는데', 2)","('속상해', 2)","('좋겠다', 3)","('같아서', 3)","('재밌었는데', 7)","('없어', 5)","('있을만한', 2)","('미친', 4)","('재밌고', 2)","('재밌는데', 2)","('나쁜', 6)","('짠한', 4)","('좋겠어요', 3)","('없다', 4)","('좋겠네요', 3)","('신난게', 2)","('없어도', 2)","('기대하겠습니다', 2)","('아파서', 2)","('힘드셨겠어요', 3)","('가능하나', 2)","('솔직히', 3)","('귀엽고', 6)","('깔끔한', 2)","('무섭다진', 2)"
"('무리하지', 3)","('아쉽지만', 3)","('아니냐', 4)","('예쁜', 3)","('빨간', 6)","('귀엽네요', 3)","('죄송해요', 5)","('안타깝네요', 4)","('아님', 5)","('아님', 3)","('궁금해요', 3)","('없어도', 2)","('좋아해요', 3)","('행복합니다', 3)","('좋지만', 2)","('재밌네', 2)","('귀엽지', 3)","('좋다고', 4)","('있음', 5)","('같음', 4)","('조용히', 5)","('재밌다', 3)","('아님', 7)","('있을수도', 3)","('자세히', 3)","('건강하세요', 3)","('참신했다', 2)","('유명한', 2)","('어떤', 3)","('아닌가', 3)","('미쳤어', 6)","('기대할게요', 4)","('너무하신거', 2)","('있네요', 4)","('즐겁게', 2)","('없어서', 2)","('아니구요', 5)","('재미있었습니다', 4)","('재밌다', 3)","('행복한', 3)","('아닐까', 3)","('외로웠던거', 2)","('외로울', 2)","('좋을', 2)","('악해', 2)","('똑같은', 2)","('재밌는데', 2)","('아닌가', 3)","('귀여우시다', 6)","('그러면', 2)","('맛있는데', 2)"
"('부탁드려요', 3)","('슬프다', 3)","('유일한', 3)","('아팠어요', 3)","('싫어', 6)","('멋져요', 3)","('재밌어', 5)","('있을까', 4)","('아니라고', 5)","('심함', 2)","('미친', 3)","('안되는', 2)","('있지만', 3)","('귀엽고', 3)","('좋겠어여', 2)","('재밌어서', 2)","('없고', 3)","('재밌는', 4)","('아니냐', 5)","('아닐', 4)","('같은거', 4)","('아니야', 3)","('좋아하는', 6)","('있군요', 3)","('잘생겼', 3)","('귀엽네요', 2)","('맛있다', 2)","('있길래', 2)","('아닌지', 3)","('쓸데없는', 3)","('좋겠어요', 6)","('없긴', 4)","('아니에요', 2)","('엄청나요', 3)","('건강하게', 2)","('똑같으면', 2)","('아닌가요', 5)","('재미있는', 3)","('무서워', 3)","('재밌네요', 3)","('없어', 3)","('착한', 2)","('없을', 2)","('이뻐요', 2)","('원합니다', 2)","('없고', 2)","('같음', 2)","('맛있다는', 3)","('좋겠네요', 6)","('후회되잖어', 2)","('없지', 2)"
"('좋을', 3)","('아닌가', 2)","('있길', 3)","('재미있다', 3)","('없음', 5)","('많은', 3)","('귀엽', 5)","('영원히', 4)","('없다', 5)","('어떤', 2)","('재미있어요', 3)","('있었는데', 2)","('좋겠네요', 3)","('있을테니', 3)","('재미있게', 2)","('재밌당', 2)","('좋아요', 3)","('재밌어요', 4)","('즐거운', 5)","('무서워', 4)","('행복해', 4)","('재밌는', 3)","('싫어요', 6)","('있었는데', 3)","('좋아여', 3)","('같으신', 2)","('없군', 2)","('이상한', 2)","('싫어', 3)","('부자연스럽고', 3)","('기대할게요', 6)","('이상한', 4)","('좋겠어요', 2)","('나쁜', 3)","('있었으면', 2)","('힘들겠다', 2)","('당하고', 5)","('미쳤다', 3)","('어떤', 3)","('좋아하는', 3)","('그런거', 3)","('반갑', 2)","('같더라구요', 2)","('귀엽고', 2)","('완전히', 2)","('바쁘시겠지만', 2)","('재밌', 2)","('이뻐요', 3)","('예쁜', 6)","('스럽단', 2)","('재밌군요', 2)"
"('귀여워요', 3)","('착한', 2)","('재미있', 3)","('무섭', 3)","('있었는데', 5)","('아닌가요', 3)","('좋은', 5)","('궁금해요', 4)","('잘생겼다', 5)","('행복한거였나', 2)","('재밌다', 3)","('똑같네', 2)","('맛있겠', 3)","('좋겠어요', 3)","('귀찮아지', 2)","('미칠만', 2)","('사랑스럽네', 2)","('부당한', 4)","('성공하면', 4)","('재미있게', 4)","('대단한', 4)","('좋아하네', 3)","('안녕하세요', 6)","('가능한데', 3)","('아닌가', 3)","('설레게', 2)","('갑작스러운', 2)","('미친듯이', 2)","('당연히', 3)","('아닌데', 3)","('아닌가', 6)","('음흉하게', 4)","('좋아해서', 2)","('좋은', 3)","('재밌게', 2)","('적당히', 2)","('없을', 5)","('재미있게', 3)","('무섭', 3)","('있어용', 3)","('재미있게', 3)","('그래요', 2)","('행복하시면', 2)","('좋아해서', 2)","('있었음', 2)","('소중하고', 2)","('괜찮다', 2)","('새로운', 2)","('있습니까', 6)","('있었는데', 2)","('아닙니까', 2)"
"('많았나요', 2)","('그렇지', 2)","('재미있게', 3)","('없어서', 3)","('없다', 5)","('있나', 3)","('설렌다', 5)","('기대할게요', 4)","('스러', 5)","('아니에요', 2)","('엄청난', 3)","('힘든', 2)","('안되는데', 3)","('완전히', 3)","('괜찮아요', 2)","('있었네', 2)","('좋겠어요', 2)","('없네', 4)","('아니다', 4)","('이쁘다', 3)","('좋으니까', 4)","('힘들어', 3)","('화려한', 6)","('재밌고', 3)","('재미있게', 3)","('좋아하신다구요', 2)","('좋으라고', 2)","('있더라고요', 2)","('재밌다', 3)","('기대하고', 3)","('재밌네요', 6)","('쎄하냐', 4)","('성공하기를', 2)","('불쌍해', 3)","('탄탄하고', 2)","('재밌어야지', 2)","('힘든', 5)","('좋아요', 3)","('무서워요', 3)","('아프죠', 3)","('잘생겼다', 3)","('따뜻해', 2)","('좋겠어요', 2)","('기대합니다', 2)","('없다', 2)","('중요하니', 2)","('그러세요', 2)","('예쁜', 2)","('아닙니까', 5)","('좋아요', 2)","('미치겠', 2)"
"('있었네', 2)","('미쳤냐', 2)","('있을게요', 3)","('죄송해요', 3)","('이상하지', 5)","('많단다', 3)","('좋아', 5)","('보석같은', 4)","('행복하게', 5)","('재밌다', 2)","('싫어요', 3)","('힘드네요', 2)","('좋네요', 3)","('나쁜', 3)","('아프지', 2)","('뛰어나시네요', 2)","('재밌는', 2)","('없다', 4)","('불안했잖아요', 4)","('재밌어요', 3)","('그런게', 4)","('없다고', 3)","('재밌어요', 5)","('있었던거', 2)","('이뻐지는', 2)","('어렵다고', 2)","('없나', 2)","('힘들지도', 2)","('그렇네', 3)","('순수한', 3)","('재미있어요', 5)","('착한거', 4)","('무서운', 2)","('있잖아요', 2)","('예쁜', 2)","('재밌네용', 2)","('있지만', 5)","('웬만한', 3)","('재미있게', 3)","('달콤해서', 2)","('소중한건', 3)","('불편할까봐', 2)","('있는게', 2)","('재밌다', 2)","('같긴한데', 2)","('입을텐데', 2)","('좋아해', 2)","('없자나요', 2)","('없습니다', 5)","('괜찮아요', 2)","('재미있네요', 2)"
"('재밌어요', 2)","('다르잖아', 2)","('대단한', 3)","('그렇지', 3)","('새로운', 5)","('아프시면', 2)","('이쁘다', 5)","('귀여워라', 3)","('이뻐요', 4)","('예쁘네요', 2)","('아까', 3)","('지독한', 2)","('있었으면', 3)","('당연히', 3)","('부지런하시네요', 2)","('미쳤는데', 2)","('재밌는데', 2)","('아니야', 4)","('어중간하게', 4)","('있었구나', 3)","('없다', 4)","('힘들고', 3)","('좋겠다', 5)","('좋군요', 2)","('미쳐', 2)","('그렇기', 2)","('미쳤네', 2)","('어떤', 2)","('착하게', 3)","('있는거지', 2)","('야해요', 5)","('그런지', 4)","('없었던걸', 2)","('있었던', 2)","('미쳤다', 2)","('좋겠다', 2)","('아님', 5)","('싫어요', 3)","('미쳤다', 2)","('귀여워', 2)","('아니길', 3)","('예쁘지만', 2)","('예쁘고', 2)","('궁금하네여', 2)","('있음', 2)","('편한', 2)","('같냐구', 2)","('있긴', 2)","('있다는', 5)","('소중하지', 2)","('미친', 2)"
"('아쉽게도', 2)","('재미있어용', 2)","('좋아요', 3)","('행복해야', 3)","('재미있게', 5)","('싫어', 2)","('재밌어요', 4)","('귀엽잖아', 3)","('행복한', 4)","('있어서요', 2)","('예뻐요', 3)","('고픈', 2)","('당연히', 3)","('귀여워요', 3)","('아닌가', 2)","('있네요', 2)","('착해요', 2)","('없지', 4)","('이상한', 4)","('아니잖아', 3)","('멋있는', 4)","('꾸준히', 3)","('좋은데', 5)","('귀찮으니까', 2)","('있구나', 2)","('있을까봐', 2)","('좋당', 2)","('고맙습니다', 2)","('재밌는', 3)","('심하고', 2)","('노란', 5)","('좋아', 4)","('같긴한데', 2)","('그러셨어요', 2)","('그러지', 2)","('배고프다고도', 2)","('좋아서', 5)","('재밌음', 3)","('이쁘고', 2)","('좋아하는거나', 2)","('있음', 3)","('외로웠나', 2)","('힘들었는데', 2)","('이상하게', 2)","('있다고', 2)","('조용하면', 2)","('이쁘고', 2)","('없길', 2)","('귀엽죠', 5)","('재밌게', 2)","('순순히', 2)"
"('아니시네요', 2)","('슬퍼하지마', 2)","('좋아', 3)","('슬프네요', 3)","('좋아요', 5)","('미쳤다', 2)","('행복해지면', 4)","('있구나', 3)","('짠하다', 4)","('재밌는거', 2)","('아니네요', 3)","('좋아요', 2)","('좋고', 3)","('귀여우시다', 3)","('대단하시네요', 2)","('아님', 2)","('훈훈한', 2)","('필요해', 4)","('좋게', 4)","('이뻐요', 3)","('행복하게', 4)","('좋아하죠', 3)","('그렇지', 5)","('던거에요', 2)","('귀엽당', 2)","('그렇습니다', 2)","('힘드네', 2)","('재밌는', 2)","('아니냐', 3)","('심하신', 2)","('아님', 5)","('나쁘다', 4)","('없는거', 2)","('섬세하게', 2)","('같아서', 2)","('아니지', 2)","('젊은', 5)","('같은거', 3)","('좋네요', 2)","('귀엽네요', 2)","('아니라고', 3)","('싫어', 2)","('힘들고', 2)","('드럽게', 2)","('확실하게', 2)","('무서워서', 2)","('좋은데', 2)","('좋겠다', 2)","('없어', 5)","('독하다', 2)","('상쾌한', 2)"
"('빠른', 2)","('좋아용', 2)","('작은', 3)","('좋아요', 3)","('싫어요', 5)","('있구나', 2)","('이상한', 4)","('부탁드려요', 3)","('좋겠다', 4)","('아니겠어', 2)","('편하네요', 2)","('귀찮은데', 2)","('있네', 3)","('원하는', 2)","('힘드네요', 2)","('재밌고', 2)","('훈훈하네요', 2)","('답답해서', 3)","('재밌게', 4)","('부탁드려요', 3)","('좋아해서', 4)","('귀엽구만', 2)","('좋아한다', 5)","('신기하다', 2)","('이쁜데요', 2)","('같아서', 2)","('든든하군요', 2)","('있나', 2)","('재밌당', 3)","('힘드시겠어요', 2)","('재밌네', 5)","('좋고', 4)","('아닐까', 2)","('같아여', 2)","('안타까', 2)","('재밌네', 2)","('있다고', 5)","('귀엽다', 3)","('재밌네요', 2)","('많나요', 2)","('아니지', 3)","('이럴듯', 2)","('힘든', 2)","('맛없네', 2)","('충분하지도', 2)","('덜하지만', 2)","('좋아하는건', 2)","('궁금하다', 2)","('귀엽습니다', 4)","('재밌어요', 2)","('귀엽습니다', 2)"
"('유일하게', 2)","('얇으면', 2)","('없냐', 3)","('좋겠다', 3)","('있는게', 4)","('재밌어요', 2)","('좋아서', 4)","('귀엽고', 3)","('없는데', 4)","('재밌네요', 2)","('기대하구이', 2)","('있으니', 2)","('아쉽네요', 3)","('없어서', 2)","('길게', 2)","('놀라운데', 2)","('나빠요', 2)","('같기도', 3)","('아프신', 4)","('귀엽다', 3)","('좋겠네요', 4)","('아니예요', 2)","('조아요', 4)","('나쁘지', 2)","('그렇구', 2)","('좋은', 2)","('안타깝네', 2)","('귀여우셔', 2)","('어떡해', 3)","('좋겠네요', 2)","('행복해', 4)","('먼가', 4)","('섬뜩합니다', 2)","('재밌당', 2)","('숨막혀하는거', 2)","('성장해서', 2)","('그런거', 5)","('재밌어서', 2)","('신선하고', 2)","('쿨함', 2)","('있을거에요', 2)","('좋겠음', 2)","('있으니', 2)","('재밌어서', 2)","('궁금해', 2)","('징징거려요', 2)","('아니지', 2)","('없어라', 2)","('좋아하는', 4)","('좋아하는', 2)","('좋아', 2)"
"('없어서', 2)","('좋을것', 2)","('좋다', 3)","('없다고', 3)","('좋을', 4)","('하얀', 2)","('아프네요', 4)","('깜찍해라', 3)","('힘든', 4)","('재밌음', 2)","('없더라', 2)","('힘드셨겠어요', 2)","('예쁘다고', 3)","('있는지도', 2)","('꾸준히', 2)","('좋네요', 2)","('무리하는것', 2)","('싫으면', 3)","('재밌네', 4)","('좋다', 3)","('좋은데', 4)","('부럽다', 2)","('솔직히', 4)","('재밌을거', 2)","('궁금하네요', 2)","('귀여운', 2)","('맛있으시단', 2)","('엉뚱하신', 2)","('이상한', 3)","('있길', 2)","('있었는데', 4)","('있구', 4)","('안되지만', 2)","('짠한', 2)","('같음', 2)","('아니야', 2)","('재밌어서', 5)","('안좋았는데', 2)","('재밌어', 2)","('있어여', 2)","('좋아하는', 2)","('쉬운', 2)","('없는지', 2)","('아깝', 2)","('궁금해져서', 2)","('재밌는', 2)","('좋음', 2)","('아니지', 2)","('귀여', 4)","('인해', 2)","('좋네요', 2)"
